Item Number,Item_Description,Qty,UOM,Locator,Subinventory,Planner,Organization_Code
0100123557W,"BAR,ROUND ~ 3/16 IN",51.375,Inch,B.05.02...,BR,Planner 3,TOL
0100163444W,"BAR,ROUND  ~  1/4 IN",36,Inch,B.14.05...,BR,Planner 4,TOL
0100163557W,"BAR,ROUND ~ 1/4 IN",110.375,Inch,B.08.07...,BR,Planner 12,TOL
0100203503W,"BAR,ROUND ~ 5/16 IN",64.25,Inch,B.23.02...,BR,Planner 12,TOL
0100203557W,"BAR,ROUND ~ 5/16 IN",80.125,Inch,B.06.04...,BR,Planner 3,TOL
0100243503W,"BAR,ROUND ~ 3/8 IN",16.75,Inch,B.14.02...,BR,Planner 12,TOL
0100322409W,"BAR,ROUND ~ 1/2 IN",51,Inch,B.25.02...,BR,Planner 4,TOL
0100323557W,"BAR,ROUND ~ 1/2 IN",66.25,Inch,B.07.05...,BR,Planner 4,TOL
0100361401W,"BAR,ROUND ~ 9/16 IN",17.75,Inch,B.05.06...,BR,Planner 4,TOL
0100362409W,"BAR,ROUND ~ 9/16 IN",32.875,Inch,B.05.05...,BR,Planner 4,TOL
0100363513W,"BAR,ROUND ~ 9/16 IN",47,Inch,B.03.02...,BR,Planner 12,TOL
0100363557W,"BAR,ROUND ~ 9/16 IN",12,Inch,B.15.02...,BR,Planner 12,TOL
0100402409W,"BAR,ROUND ~ 5/8 IN",91.75,Inch,B.08.02...,BR,Planner 10,TOL
0100403514W,"BAR,ROUND ~ 5/8IN",21.3,Inch,B.25.03...,BR,Planner 12,TOL
0100403539W,"BAR,ROUND ~ 5/8",5.125,Inch,B.15.02...,BR,Planner 4,TOL
0100403557W,"BAR,ROUND ~ 5/8 IN",222.875,Inch,B.03.02...,BR,Planner 12,TOL
0100403560W,"BAR,ROUND ~ 5/8 IN",13.5,Inch,B.15.03...,BR,Planner 4,TOL
01004035EAW,"BAR,ROUND ~ 5/8 IN",24,Inch,B.28.03...,BR,Planner 4,TOL
0100404052W,"BAR,ROUND ~ 5/8 IN",14.75,Inch,B.28.02...,BR,Planner 12,TOL
0100443513W,"BAR,ROUND ~ 11/16 IN",22,Inch,B.01.02...,BR,Planner 4,TOL
0100443557W,"BAR,ROUND ~ 11/16 IN",100.375,Inch,B.08.05...,BR,Planner 12,TOL
0100482409W,"BAR,ROUND ~ 3/4 IN",3287.75,Inch,B.13.03...,BR,Planner 10,TOL
0100483503W,"BAR,ROUND ~ 3/4 IN",16.625,Inch,B.08.04...,BR,Planner 12,TOL
0100483513W,"BAR,ROUND ~ 3/4 IN",6.875,Inch,B.28.03...,BR,Planner 4,TOL
0100483514W,"BAR,ROUND ~ 3/4 DIA",104.5,Inch,B.03.02...,BR,Planner 10,TOL
0100483557W,"BAR,ROUND ~ 3/4 IN",96.25,Inch,B.07.04...,BR,Planner 4,TOL
0100483558W,"BAR,ROUND ~ 3/4 IN",23,Inch,B.28.02...,BR,Planner 12,TOL
0100484118W,"BAR,ROUND ~ 3/4 DIA",5.5,Inch,B.28.02...,BR,Planner 12,TOL
0100523539W,"BAR,ROUND ~ 13/16 IN",18.25,Inch,B.15.02...,BR,Planner 12,TOL
0100561223W,"BAR,ROUND ~ 7/8 DIA",282.875,Inch,B.07.02...,BR,Planner 4,TOL
0100561405W,"BAR,ROUND ~ 7/8 DIA.",123.75,Inch,B.05.06...,BR,Planner 4,TOL
