Part Number,Part Name,Make/Buy,Planner,Buyer,CTLT,ABC Class,Ann Usage Pieces,Primary Supplier
00644-7630-0121,"KIT, SPARES, 644 M5, SST COVER ASSY FOR 3-ENTRY J-BOX",Make,Planner 4,,,D E&O,,
007635-001-304,"SEAT RING, .2500/.2505 DIAMETER, 1/4"", 304L SST",Make,Planner 4,,29.11612673,D E&O,,
007635-001-416,"SEAT RING, .2500/.2505 DIAMETER, 1/4"" (416 SST)",Make,Planner 4,,44,C,119,
007635-002-416,"SEAT RING, .375/.376 DIAMETER, 3/8"", (416 SST)",Make,Planner 4,,42.7867663,D USE,1,
007635-005-416,"SEAT RING, 13/16"" BORE  (STD FOR SIZE 1/2 & 3/4), (416 SST)",Make,Planner 4,,42.29697572,D E&O,,
007635-005-416-X022,"SEAT RING, 13/16"" BORE  (STD FOR SIZE 1/2 & 3/4), (416 SST),CMTR",Make,Planner 4,,35.11319812,D NEW,,
007635-005-732,"SEAT RING, 13/16"" BORE  (STD FOR SIZE 1/2 & 3/4), (MONEL)",Make,Planner 4,,37.71076433,D E&O,,
007900060003,"KIT,CABLE  H3,4PIN PLUG,6 FOOT LONG WIRE EXTENSION",Make,,,,,,
00826-03,CVR CASTING ~ MG05 1/4T,Buy,Planner 7,"FERNANDEZ, JORGE",114,D USE,,OIL CITY IRON WORKS INC
00852-01,CVR CSTG ~ MG03 360 TOP,Buy,Planner 7,"FERNANDEZ, JORGE",78,D USE,,OIL CITY IRON WORKS INC
00864-01,CVR CSTG ~ MG05 360,Buy,Planner 7,"FERNANDEZ, JORGE",66,D USE,,STAR PIPE USA LLC
00870-0300-6129,"LITERATURE, WHITE PAPER, THREE INOVATIVE WAYS TO IMPROVE PUMP RELIABILITY, WIRELESS, 00870-0300-6129",Buy,,,253,,,
00879-03,CVR CSTG M ~ GB1/GB3,Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",35,D,,
00881,"Q,M HSG CSTG  ~ 1000",Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",65,,,
